Latitude (decimal degrees):	35.697
Longitude (decimal degrees):	104.011
Elevation (m):	3235
Radiation database:	PVGIS-ERA5


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20220511:0630,680.22,885.66,63.34,17.35,0.83,0.0
20220511:0730,579.34,742.24,52.47,18.1,0.9,0.0
20220511:0830,409.05,514.65,40.59,18.34,1.45,0.0
20220511:0930,207.97,273.94,28.43,17.75,1.86,0.0
20220511:1030,59.15,100.98,16.33,16.87,1.66,0.0
20220511:1130,7.87,20.46,4.56,15.31,2.14,0.0
20220511:1230,0.0,0.0,0.0,13.33,1.79,0.0
20220511:1330,0.0,0.0,0.0,11.85,1.31,0.0
20220511:1430,0.0,0.0,0.0,11.09,1.72,0.0
20220511:1530,0.0,0.0,0.0,10.13,2.21,0.0
20220511:1630,0.0,0.0,0.0,9.1,2.34,0.0
20220511:1730,0.0,0.0,0.0,7.86,1.86,0.0
20220511:1830,0.0,0.0,0.0,7.52,1.24,0.0
20220511:1930,0.0,0.0,0.0,8.92,0.97,0.0
20220511:2030,0.0,0.0,0.0,8.63,0.83,0.0
20220511:2130,0.0,0.0,0.0,8.11,0.55,0.0
20220511:2230,9.58,22.47,4.43,7.51,0.62,0.0
20220511:2330,47.88,71.27,16.2,7.29,0.83,0.0
20220512:0030,240.2,305.29,28.43,9.34,0.97,0.0
20220512:0130,432.01,532.69,40.59,12.19,0.69,0.0
20220512:0230,597.93,760.48,52.49,14.58,0.48,0.0
20220512:0330,709.2,915.73,63.41,16.67,1.31,0.0
20220512:0430,753.43,965.75,71.21,18.19,2.62,0.0
20220512:0530,611.61,746.22,71.25,16.82,5.03,0.0
20220512:0630,298.75,361.2,63.52,15.33,6.48,0.0
20220512:0730,220.33,267.92,52.62,12.23,6.62,0.0
20220512:0830,143.22,180.48,40.72,10.46,7.17,0.0
20220512:0930,81.93,111.46,28.55,8.46,6.83,0.0
20220512:1030,16.28,31.88,16.47,7.28,5.93,0.0
20220512:1130,0.17,6.03,4.7,6.08,4.07,0.0
20220512:1230,0.0,0.0,0.0,5.21,2.69,0.0
20220512:1330,0.0,0.0,0.0,4.39,1.72,0.0
20220512:1430,0.0,0.0,0.0,4.03,0.69,0.0
20220512:1530,0.0,0.0,0.0,4.01,0.28,0.0
20220512:1630,0.0,0.0,0.0,4.1,0.48,0.0
20220512:1730,0.0,0.0,0.0,4.11,0.97,0.0
20220512:1830,0.0,0.0,0.0,4.06,1.24,0.0
20220512:1930,0.0,0.0,0.0,4.29,0.9,0.0
20220512:2030,0.0,0.0,0.0,4.18,0.83,0.0
20220512:2130,0.0,0.0,0.0,3.9,1.17,0.0
20220512:2230,6.45,17.49,4.58,3.67,1.66,0.0
20220512:2330,39.45,60.16,16.34,3.51,2.21,0.0
20220513:0030,121.73,156.62,28.56,4.2,2.97,0.0
20220513:0130,195.73,234.64,40.72,4.52,3.38,0.0
20220513:0230,297.25,345.13,52.64,5.29,3.86,0.0
20220513:0330,389.53,451.63,63.6,6.49,4.28,0.0
20220513:0430,339.75,396.55,71.44,7.55,4.55,0.0
20220513:0530,268.96,317.6,71.49,7.87,4.9,0.0
20220513:0630,189.15,230.48,63.69,7.51,4.83,0.0
20220513:0730,144.91,181.51,52.76,7.92,4.9,0.0
20220513:0830,116.57,149.81,40.84,7.82,5.03,0.0
20220513:0930,69.41,96.3,28.68,7.53,5.24,0.0
20220513:1030,27.13,45.71,16.6,6.64,5.17,0.0
20220513:1130,2.77,11.46,4.85,5.25,4.76,0.0
20220513:1230,0.0,0.0,0.0,4.09,4.07,0.0
20220513:1330,0.0,0.0,0.0,3.49,3.59,0.0
20220513:1430,0.0,0.0,0.0,3.05,3.38,0.0
20220513:1530,0.0,0.0,0.0,2.45,2.97,0.0
20220513:1630,0.0,0.0,0.0,1.92,2.83,0.0
20220513:1730,0.0,0.0,0.0,1.48,2.62,0.0
20220513:1830,0.0,0.0,0.0,1.19,2.41,0.0
20220513:1930,0.0,0.0,0.0,0.5,2.28,0.0
20220513:2030,0.0,0.0,0.0,0.22,2.28,0.0
20220513:2130,0.0,0.0,0.0,0.21,2.14,0.0
20220513:2230,4.9,14.87,4.73,0.2,2.28,0.0
20220513:2330,36.66,56.14,16.48,0.39,2.62,0.0
20220514:0030,116.87,147.76,28.69,1.15,3.1,0.0
20220514:0130,215.82,254.93,40.85,1.94,3.52,0.0
20220514:0230,419.0,481.65,52.78,3.01,3.59,0.0
20220514:0330,583.14,678.34,63.77,4.79,3.45,0.0
20220514:0430,493.64,582.46,71.67,6.6,3.1,0.0
20220514:0530,513.5,608.31,71.72,7.49,2.97,0.0
20220514:0630,482.69,572.41,63.87,8.43,2.97,0.0
20220514:0730,328.49,391.76,52.9,8.63,2.69,0.0
20220514:0830,217.8,265.38,40.97,8.8,3.24,0.0
20220514:0930,96.98,129.5,28.8,8.51,3.72,0.0
20220514:1030,39.49,63.22,16.73,7.98,3.72,0.0
20220514:1130,4.0,13.73,4.99,7.58,3.45,0.0
20220514:1230,0.0,0.0,0.0,7.15,2.62,0.0
20220514:1330,0.0,0.0,0.0,6.59,1.79,0.0
20220514:1430,0.0,0.0,0.0,5.86,1.03,0.0
20220514:1530,0.0,0.0,0.0,4.87,0.76,0.0
20220514:1630,0.0,0.0,0.0,4.06,0.9,0.0
20220514:1730,0.0,0.0,0.0,4.3,0.41,0.0
20220514:1830,0.0,0.0,0.0,3.92,0.55,0.0
20220514:1930,0.0,0.0,0.0,1.68,0.48,0.0
20220514:2030,0.0,0.0,0.0,1.66,0.48,0.0
20220514:2130,0.0,0.0,0.0,1.58,0.34,0.0
20220514:2230,13.22,27.06,4.88,1.4,0.48,0.0
20220514:2330,68.46,93.35,16.61,1.67,0.69,0.0
20220515:0030,206.83,254.47,28.81,4.35,1.24,0.0
20220515:0130,351.88,415.97,40.98,5.67,1.79,0.0
20220515:0230,504.11,598.92,52.92,6.87,1.79,0.0
20220515:0330,513.19,615.99,63.94,8.2,1.66,0.0
20220515:0430,517.16,623.4,71.89,9.09,1.93,0.0
20220515:0530,350.98,421.28,71.94,9.66,1.86,0.0
20220515:0630,404.23,483.39,64.04,9.47,2.28,0.0
20220515:0730,459.33,544.68,53.03,9.42,2.83,0.0
20220515:0830,252.9,305.3,41.1,9.61,3.31,0.0
20220515:0930,156.9,199.69,28.93,8.14,4.14,0.0
20220515:1030,35.36,56.97,16.86,6.94,4.28,0.0
20220515:1130,0.63,7.17,5.13,5.81,2.62,0.0
20220515:1230,0.0,0.0,0.0,5.1,1.72,0.0
20220515:1330,0.0,0.0,0.0,4.67,1.1,0.0
20220515:1430,0.0,0.0,0.0,4.12,1.86,0.0
20220515:1530,0.0,0.0,0.0,3.47,2.41,0.0
20220515:1630,0.0,0.0,0.0,2.83,2.34,0.0
20220515:1730,0.0,0.0,0.0,2.17,2.07,0.0
20220515:1830,0.0,0.0,0.0,1.8,1.86,0.0
20220515:1930,0.0,0.0,0.0,0.87,1.86,0.0
20220515:2030,0.0,0.0,0.0,0.27,1.52,0.0
20220515:2130,0.0,0.0,0.0,-0.54,1.31,0.0
20220515:2230,13.08,26.58,5.02,-1.5,1.03,0.0
20220515:2330,54.38,76.6,16.74,-0.57,0.48,0.0
20220516:0030,292.76,361.79,28.93,2.1,0.55,0.0
20220516:0130,505.5,602.53,41.1,5.29,1.24,0.0
20220516:0230,673.42,811.7,53.05,7.62,2.14,0.0
20220516:0330,776.64,960.74,64.1,9.34,2.07,0.0
20220516:0430,818.18,1036.11,72.11,10.82,1.72,0.0
20220516:0530,802.43,1031.85,72.16,12.1,1.24,0.0
20220516:0630,737.32,949.74,64.2,13.22,0.83,0.0
20220516:0730,627.6,797.28,53.17,13.92,0.62,0.0
20220516:0830,468.77,591.59,41.22,14.52,0.21,0.0
20220516:0930,270.02,354.1,29.05,14.64,0.48,0.0
20220516:1030,72.25,129.07,16.99,14.47,1.03,0.0
20220516:1130,10.78,24.75,5.27,13.74,2.07,0.0
20220516:1230,0.0,0.0,0.0,11.41,2.83,0.0
20220516:1330,0.0,0.0,0.0,9.09,3.03,0.0
20220516:1430,0.0,0.0,0.0,7.37,2.69,0.0
20220516:1530,0.0,0.0,0.0,5.82,1.93,0.0
20220516:1630,0.0,0.0,0.0,4.65,1.31,0.0
20220516:1730,0.0,0.0,0.0,5.42,0.9,0.0
20220516:1830,0.0,0.0,0.0,5.13,0.69,0.0
20220516:1930,0.0,0.0,0.0,5.59,0.69,0.0
20220516:2030,0.0,0.0,0.0,5.32,0.69,0.0
20220516:2130,0.0,0.0,0.0,5.1,0.76,0.0
20220516:2230,12.23,26.02,5.15,4.8,0.9,0.0
20220516:2330,46.97,69.52,16.87,4.94,0.97,0.0
20220517:0030,278.29,350.15,29.04,7.29,1.59,0.0
20220517:0130,482.14,582.57,41.21,10.96,2.41,0.0
20220517:0230,640.09,781.85,53.17,13.48,3.17,0.0
20220517:0330,746.34,924.66,64.25,15.5,4.0,0.0
20220517:0430,796.22,993.53,72.32,16.92,4.76,0.0
20220517:0530,791.02,985.49,72.38,17.86,5.38,0.0
20220517:0630,745.97,922.36,64.37,18.35,5.86,0.0
20220517:0730,627.44,766.06,53.3,18.11,6.21,0.0
20220517:0830,460.67,561.9,41.34,17.85,6.55,0.0
20220517:0930,263.38,340.13,29.17,17.19,6.62,0.0
20220517:1030,77.0,130.13,17.11,16.06,6.69,0.0
20220517:1130,12.99,27.98,5.41,14.22,5.79,0.0
20220517:1230,0.0,0.0,0.0,12.11,5.24,0.0
20220517:1330,0.0,0.0,0.0,10.46,4.76,0.0
20220517:1430,0.0,0.0,0.0,9.35,4.34,0.0
20220517:1530,0.0,0.0,0.0,8.48,4.0,0.0
20220517:1630,0.0,0.0,0.0,7.54,3.52,0.0
20220517:1730,0.0,0.0,0.0,6.78,3.31,0.0
20220517:1830,0.0,0.0,0.0,6.31,2.97,0.0
20220517:1930,0.0,0.0,0.0,5.78,2.41,0.0
20220517:2030,0.0,0.0,0.0,5.56,2.48,0.0
20220517:2130,0.0,0.0,0.0,5.43,2.21,0.0
20220517:2230,10.89,24.18,5.28,5.51,1.93,0.0
20220517:2330,68.69,94.92,16.98,5.74,2.34,0.0
20220518:0030,145.91,184.28,29.15,6.81,2.28,0.0
20220518:0130,218.46,266.95,41.32,8.41,1.59,0.0
20220518:0230,238.64,293.95,53.29,9.84,0.62,0.0
20220518:0330,227.17,283.33,64.4,11.1,0.14,0.0
20220518:0430,239.54,297.4,72.53,12.04,0.76,0.0
20220518:0530,228.42,284.52,72.59,12.51,1.45,0.0
20220518:0630,242.23,299.3,64.52,12.93,2.0,0.0
20220518:0730,244.34,301.0,53.43,12.0,1.17,0.0
20220518:0830,186.45,233.52,41.46,11.61,1.31,0.0
20220518:0930,98.42,133.88,29.29,11.39,1.31,0.0
20220518:1030,41.72,68.93,17.24,11.33,1.24,0.0
20220518:1130,2.4,10.97,5.54,10.98,1.38,0.0
20220518:1230,0.0,0.0,0.0,10.25,1.31,0.0
20220518:1330,0.0,0.0,0.0,9.25,1.79,0.0
20220518:1430,0.0,0.0,0.0,8.36,1.52,0.0
20220518:1530,0.0,0.0,0.0,7.23,1.17,0.0
20220518:1630,0.0,0.0,0.0,7.09,0.9,0.0
20220518:1730,0.0,0.0,0.0,7.02,0.55,0.0
20220518:1830,0.0,0.0,0.0,6.49,0.34,0.0
20220518:1930,0.0,0.0,0.0,6.09,0.55,0.0
20220518:2030,0.0,0.0,0.0,4.7,0.55,0.0
20220518:2130,0.0,0.0,0.0,2.74,0.62,0.0
20220518:2230,15.22,29.95,5.41,3.32,0.76,0.0
20220518:2330,81.42,109.09,17.1,4.17,0.69,0.0
20220519:0030,235.1,292.14,29.25,6.81,0.55,0.0
20220519:0130,442.08,540.46,41.42,10.12,0.76,0.0
20220519:0230,597.62,746.97,53.41,13.54,1.17,0.0
20220519:0330,688.74,890.85,64.55,15.79,0.9,0.0
20220519:0430,726.06,964.35,72.73,17.26,0.55,0.0
20220519:0530,722.69,957.48,72.79,18.4,0.83,0.0
20220519:0630,654.29,850.16,64.68,19.31,1.38,0.0
20220519:0730,495.39,634.43,53.56,19.09,0.76,0.0
20220519:0830,367.63,464.69,41.58,18.8,1.24,0.0
20220519:0930,188.52,246.47,29.41,17.45,1.79,0.0
20220519:1030,66.46,100.0,17.36,17.26,2.28,0.0
20220519:1130,13.78,29.38,5.68,16.51,1.66,0.0
20220519:1230,0.0,0.0,0.0,15.04,0.55,0.0
20220519:1330,0.0,0.0,0.0,14.21,0.55,0.0
20220519:1430,0.0,0.0,0.0,13.25,0.83,0.0
20220519:1530,0.0,0.0,0.0,12.28,1.03,0.0
20220519:1630,0.0,0.0,0.0,11.24,1.17,0.0
20220519:1730,0.0,0.0,0.0,11.32,0.97,0.0
20220519:1830,0.0,0.0,0.0,10.68,0.69,0.0
20220519:1930,0.0,0.0,0.0,7.88,1.31,0.0
20220519:2030,0.0,0.0,0.0,7.06,1.45,0.0
20220519:2130,0.0,0.0,0.0,7.14,1.31,0.0
20220519:2230,17.28,33.19,5.53,7.54,1.1,0.0
20220519:2330,78.52,107.25,17.21,7.73,1.1,0.0
20220520:0030,247.49,316.16,29.35,10.84,0.83,0.0
20220520:0130,418.85,519.26,41.52,14.05,1.03,0.0
20220520:0230,549.59,688.28,53.51,15.64,1.38,0.0
20220520:0330,652.23,820.79,64.68,16.94,2.48,0.0
20220520:0430,721.42,913.31,72.92,17.96,3.17,0.0
20220520:0530,706.51,890.71,73.0,18.94,3.86,0.0
20220520:0630,615.74,768.05,64.84,19.4,4.28,0.0
20220520:0730,327.94,407.61,53.69,19.83,4.28,0.0
20220520:0830,180.46,230.55,41.7,17.09,3.86,0.0
20220520:0930,138.94,183.69,29.53,16.27,4.07,0.0
20220520:1030,47.58,75.71,17.49,15.13,3.31,0.0
20220520:1130,4.51,14.91,5.81,13.98,1.86,0.0
20220520:1230,0.0,0.0,0.0,11.98,1.59,0.0
20220520:1330,0.0,0.0,0.0,10.68,1.45,0.0
20220520:1430,0.0,0.0,0.0,9.98,1.17,0.0
20220520:1530,0.0,0.0,0.0,9.72,0.97,0.0
20220520:1630,0.0,0.0,0.0,9.36,0.48,0.0
20220520:1730,0.0,0.0,0.0,8.98,0.9,0.0
20220520:1830,0.0,0.0,0.0,9.08,0.55,0.0
20220520:1930,0.0,0.0,0.0,9.36,1.24,0.0
20220520:2030,0.0,0.0,0.0,9.1,1.1,0.0
20220520:2130,0.0,0.0,0.0,8.55,1.1,0.0
20220520:2230,8.09,20.29,5.64,8.11,0.76,0.0
20220520:2330,25.88,44.55,17.31,8.5,0.48,0.0
20220521:0030,83.49,114.84,29.44,9.12,0.69,0.0
20220521:0130,141.23,180.32,41.61,9.94,1.45,0.0
20220521:0230,240.0,294.46,53.62,10.64,1.72,0.0
20220521:0330,344.18,418.41,64.81,11.73,2.0,0.0
20220521:0430,383.19,465.56,73.11,12.89,2.76,0.0
20220521:0530,441.86,538.03,73.19,13.98,3.38,0.0
20220521:0630,348.51,425.08,64.99,14.78,3.79,0.0
20220521:0730,387.39,470.7,53.81,14.31,3.86,0.0
20220521:0830,252.89,312.38,41.81,14.57,3.93,0.0
20220521:0930,152.57,197.78,29.64,13.83,3.59,0.0
20220521:1030,73.69,106.53,17.61,13.58,3.45,0.0
20220521:1130,13.63,28.77,5.94,13.01,3.38,0.0
20220521:1230,0.0,0.0,0.0,11.84,3.03,0.0
20220521:1330,0.0,0.0,0.0,10.4,2.76,0.0
20220521:1430,0.0,0.0,0.0,9.17,2.83,0.0
20220521:1530,0.0,0.0,0.0,8.17,2.76,0.0
20220521:1630,0.0,0.0,0.0,7.25,2.14,0.0
20220521:1730,0.0,0.0,0.0,6.22,1.72,0.0
20220521:1830,0.0,0.0,0.0,5.55,1.17,0.0
20220521:1930,0.0,0.0,0.0,6.79,0.55,0.0
20220521:2030,0.0,0.0,0.0,6.48,0.28,0.0
20220521:2130,0.0,0.0,0.0,6.09,0.48,0.0
20220521:2230,13.58,27.98,5.75,5.7,0.34,0.0
20220521:2330,46.72,69.56,17.41,5.87,0.07,0.0
20220522:0030,271.1,347.92,29.53,9.32,0.41,0.0
20220522:0130,470.95,578.45,41.7,12.44,1.45,0.0
20220522:0230,624.74,778.96,53.71,14.73,1.86,0.0
20220522:0330,721.52,922.32,64.94,16.51,1.86,0.0
20220522:0430,766.0,996.19,73.28,17.92,1.86,0.0
20220522:0530,759.19,989.96,73.38,19.06,2.0,0.0
20220522:0630,669.89,858.35,65.13,19.95,2.41,0.0
20220522:0730,595.07,759.97,53.94,20.47,2.07,0.0
20220522:0830,446.67,562.67,41.93,20.81,3.03,0.0
20220522:0930,233.44,307.45,29.76,19.92,3.59,0.0
20220522:1030,70.34,124.33,17.73,19.14,4.34,0.0
20220522:1130,13.17,28.59,6.07,17.55,4.34,0.0
20220522:1230,0.0,0.0,0.0,15.16,4.48,0.0
20220522:1330,0.0,0.0,0.0,13.09,4.0,0.0
20220522:1430,0.0,0.0,0.0,11.54,3.59,0.0
20220522:1530,0.0,0.0,0.0,10.33,3.17,0.0
20220522:1630,0.0,0.0,0.0,9.3,2.83,0.0
20220522:1730,0.0,0.0,0.0,8.44,2.48,0.0
20220522:1830,0.0,0.0,0.0,7.65,2.21,0.0
20220522:1930,0.0,0.0,0.0,7.04,1.79,0.0
20220522:2030,0.0,0.0,0.0,7.1,1.17,0.0
20220522:2130,0.0,0.0,-5.15,7.66,0.83,0.0
20220522:2230,12.54,26.71,5.86,7.53,0.9,0.0
20220522:2330,53.9,78.48,17.5,7.54,0.9,0.0
20220523:0030,231.65,295.17,29.61,10.39,1.45,0.0
20220523:0130,441.83,540.89,41.78,12.91,1.86,0.0
20220523:0230,571.33,710.54,53.8,15.17,1.79,0.0
20220523:0330,704.81,896.47,65.05,17.12,2.21,0.0
20220523:0430,755.7,964.96,73.46,18.83,3.1,0.0
20220523:0530,744.15,944.88,73.57,19.92,3.86,0.0
20220523:0630,687.92,864.29,65.28,20.41,4.41,0.0
20220523:0730,578.4,715.59,54.06,20.55,5.31,0.0
20220523:0830,426.82,528.75,42.04,20.18,5.31,0.0
20220523:0930,240.19,316.23,29.87,19.98,5.31,0.0
20220523:1030,70.92,124.39,17.85,19.02,5.1,0.0
20220523:1130,12.17,27.15,6.2,17.71,4.62,0.0
20220523:1230,0.0,0.0,-4.81,15.86,3.72,0.0
20220523:1330,0.0,0.0,0.0,13.85,3.24,0.0
20220523:1430,0.0,0.0,0.0,12.31,2.9,0.0
20220523:1530,0.0,0.0,0.0,11.04,2.69,0.0
20220523:1630,0.0,0.0,0.0,9.9,2.48,0.0
20220523:1730,0.0,0.0,0.0,8.9,2.28,0.0
20220523:1830,0.0,0.0,0.0,8.04,2.21,0.0
20220523:1930,0.0,0.0,0.0,7.49,2.28,0.0
20220523:2030,0.0,0.0,0.0,6.87,2.14,0.0
20220523:2130,0.0,0.0,-5.04,6.27,2.07,0.0
20220523:2230,14.19,28.81,5.95,5.88,1.93,0.0
20220523:2330,63.05,89.06,17.59,7.51,2.21,0.0
20220524:0030,230.73,291.95,29.69,9.86,3.1,0.0
20220524:0130,432.82,522.79,41.85,12.45,3.24,0.0
20220524:0230,587.2,717.25,53.89,14.75,3.38,0.0
20220524:0330,687.81,850.58,65.16,16.76,4.07,0.0
20220524:0430,752.83,941.82,73.62,18.35,4.83,0.0
20220524:0530,762.31,955.29,73.75,19.65,5.38,0.0
20220524:0630,702.49,873.79,65.42,20.51,5.93,0.0
20220524:0730,585.2,721.96,54.17,20.59,6.28,0.0
20220524:0830,440.07,544.1,42.15,20.53,6.55,0.0
20220524:0930,262.02,344.05,29.98,19.91,6.76,0.0
20220524:1030,71.14,126.53,17.96,18.8,6.83,0.0
20220524:1130,12.99,28.29,6.33,17.2,6.55,0.0
20220524:1230,0.0,0.0,-4.67,15.29,5.79,0.0
20220524:1330,0.0,0.0,0.0,13.57,5.17,0.0
20220524:1430,0.0,0.0,0.0,12.36,4.69,0.0
20220524:1530,0.0,0.0,0.0,11.39,4.34,0.0
20220524:1630,0.0,0.0,0.0,10.63,3.79,0.0
20220524:1730,0.0,0.0,0.0,10.11,3.45,0.0
20220524:1830,0.0,0.0,0.0,9.43,3.31,0.0
20220524:1930,0.0,0.0,0.0,8.97,2.48,0.0
20220524:2030,0.0,0.0,0.0,8.8,2.41,0.0
20220524:2130,0.0,0.0,-4.93,8.38,2.28,0.0
20220524:2230,15.74,31.17,6.05,8.17,1.86,0.0
20220524:2330,68.35,95.75,17.67,8.91,2.34,0.0
20220525:0030,207.17,262.06,29.76,9.96,2.83,0.0
20220525:0130,332.23,404.32,41.93,11.97,2.07,0.0
20220525:0230,306.71,379.28,53.97,13.82,0.9,0.0
20220525:0330,342.81,427.74,65.27,14.93,0.69,0.0
20220525:0430,410.15,505.94,73.78,15.75,1.93,0.0
20220525:0530,444.39,548.34,73.93,16.51,2.48,0.0
20220525:0630,206.84,261.61,65.56,16.96,2.76,0.0
20220525:0730,231.26,286.23,54.29,15.05,4.21,0.0
20220525:0830,142.19,183.03,42.26,14.86,4.48,0.0
20220525:0930,72.84,103.61,30.09,14.47,4.48,0.0
20220525:1030,20.53,38.59,18.08,13.77,4.07,0.0
20220525:1130,1.87,10.01,6.45,13.28,3.45,0.0
20220525:1230,0.0,0.0,-4.54,12.77,2.9,0.0
20220525:1330,0.0,0.0,0.0,12.13,2.14,0.0
20220525:1430,0.0,0.0,0.0,11.71,1.66,0.0
20220525:1530,0.0,0.0,0.0,11.45,1.38,0.0
20220525:1630,0.0,0.0,0.0,11.22,1.24,0.0
20220525:1730,0.0,0.0,0.0,10.93,0.83,0.0
20220525:1830,0.0,0.0,0.0,10.66,0.07,0.0
20220525:1930,0.0,0.0,0.0,8.98,0.48,0.0
20220525:2030,0.0,0.0,0.0,8.32,0.69,0.0
20220525:2130,0.0,0.0,-4.83,7.74,0.69,0.0
20220525:2230,17.33,33.27,6.14,7.64,0.69,0.0
20220525:2330,54.27,79.31,17.75,8.61,0.41,0.0
20220526:0030,207.13,266.88,29.83,10.76,0.34,0.0
20220526:0130,381.31,473.29,41.99,12.63,0.21,0.0
20220526:0230,589.72,744.3,54.04,14.53,0.76,0.0
20220526:0330,682.69,865.51,65.37,16.5,2.0,0.0
20220526:0430,674.34,849.2,73.94,18.05,3.17,0.0
20220526:0530,646.37,811.07,74.1,19.2,4.0,0.0
20220526:0630,529.01,660.17,65.69,19.8,4.34,0.0
20220526:0730,260.04,326.83,54.41,19.29,4.21,0.0
20220526:0830,193.11,247.15,42.37,18.64,4.34,0.0
20220526:0930,119.59,161.03,30.2,18.18,4.34,0.0
20220526:1030,61.91,92.08,18.19,17.36,4.41,0.0
20220526:1130,12.12,26.93,6.57,16.26,4.14,0.0
20220526:1230,0.0,0.0,-4.4,15.08,3.31,0.0
20220526:1330,0.0,0.0,0.0,14.13,2.41,0.0
20220526:1430,0.0,0.0,0.0,13.36,2.0,0.0
20220526:1530,0.0,0.0,0.0,12.49,1.45,0.0
20220526:1630,0.0,0.0,0.0,11.61,0.97,0.0
20220526:1730,0.0,0.0,0.0,11.35,0.9,0.0
20220526:1830,0.0,0.0,0.0,11.16,0.9,0.0
20220526:1930,0.0,0.0,0.0,10.24,0.83,0.0
20220526:2030,0.0,0.0,0.0,9.84,0.9,0.0
20220526:2130,0.0,0.0,-4.73,9.48,0.83,0.0
20220526:2230,19.77,36.73,6.22,9.18,0.76,0.0
20220526:2330,85.92,116.74,17.83,9.46,0.62,0.0
20220527:0030,237.9,302.25,29.89,12.11,1.59,0.0
20220527:0130,366.59,446.7,42.05,13.42,2.9,0.0
20220527:0230,494.78,602.72,54.11,14.33,3.52,0.0
20220527:0330,541.04,661.76,65.46,15.42,3.93,0.0
20220527:0430,651.86,805.62,74.08,16.32,4.34,0.0
20220527:0530,682.94,847.18,74.27,17.15,4.76,0.0
20220527:0630,454.44,558.72,65.82,17.65,4.97,0.0
20220527:0730,332.76,412.59,54.52,17.57,3.79,0.0
20220527:0830,283.29,352.14,42.47,17.2,4.21,0.0
20220527:0930,207.66,266.79,30.31,16.8,4.41,0.0
20220527:1030,85.95,131.35,18.3,16.19,4.62,0.0
20220527:1130,16.3,32.75,6.69,15.18,4.34,0.0
20220527:1230,0.0,0.0,-4.27,13.64,2.97,0.0
20220527:1330,0.0,0.0,0.0,12.08,2.34,0.0
20220527:1430,0.0,0.0,0.0,10.65,1.86,0.0
20220527:1530,0.0,0.0,0.0,9.05,1.59,0.0
20220527:1630,0.0,0.0,0.0,8.43,1.31,0.0
20220527:1730,0.0,0.0,0.0,9.07,0.9,0.0
20220527:1830,0.0,0.0,0.0,9.0,0.55,0.0
20220527:1930,0.0,0.0,0.0,7.76,0.41,0.0
20220527:2030,0.0,0.0,0.0,7.37,0.34,0.0
20220527:2130,0.0,0.0,-4.63,7.09,0.28,0.0
20220527:2230,15.3,30.47,6.3,7.0,0.28,0.0
20220527:2330,49.9,73.89,17.9,7.73,0.0,0.0
20220528:0030,263.12,341.64,29.95,11.68,0.48,0.0
20220528:0130,453.37,567.07,42.11,15.04,0.97,0.0
20220528:0230,598.67,763.47,54.17,17.48,1.17,0.0
20220528:0330,683.93,883.21,65.55,19.11,1.79,0.0
20220528:0430,721.01,935.67,74.22,20.31,2.41,0.0
20220528:0530,649.56,840.53,74.43,21.24,2.41,0.0
20220528:0630,597.73,774.14,65.95,21.72,1.93,0.0
20220528:0730,439.69,561.64,54.63,21.99,2.0,0.0
20220528:0830,325.11,415.96,42.58,22.13,2.0,0.0
20220528:0930,225.16,301.46,30.41,21.96,1.86,0.0
20220528:1030,73.51,118.54,18.41,21.78,1.79,0.0
20220528:1130,16.26,33.45,6.81,20.93,1.79,0.0
20220528:1230,0.0,0.0,-4.14,19.0,2.0,0.0
20220528:1330,0.0,0.0,0.0,16.58,1.59,0.0
20220528:1430,0.0,0.0,0.0,15.18,1.17,0.0
20220528:1530,0.0,0.0,0.0,15.46,0.69,0.0
20220528:1630,0.0,0.0,0.0,12.65,2.0,0.0
20220528:1730,0.0,0.0,0.0,13.28,3.31,0.0
20220528:1830,0.0,0.0,0.0,12.6,3.72,0.0
20220528:1930,0.0,0.0,0.0,10.38,1.86,0.0
20220528:2030,0.0,0.0,0.0,9.7,1.72,0.0
20220528:2130,0.0,0.0,-4.55,8.85,1.66,0.0
20220528:2230,15.62,31.04,6.38,8.36,1.59,0.0
20220528:2330,56.63,82.24,17.96,9.33,1.31,0.0
20220529:0030,170.23,220.58,30.0,11.33,1.93,0.0
20220529:0130,327.06,393.95,42.16,12.46,4.48,0.0
20220529:0230,455.02,542.11,54.23,13.57,4.9,0.0
20220529:0330,546.5,654.92,65.63,14.36,4.83,0.0
20220529:0430,623.32,757.27,74.35,15.14,4.69,0.0
20220529:0530,566.26,688.65,74.59,16.18,4.62,0.0
20220529:0630,565.43,690.04,66.08,16.99,4.55,0.0
20220529:0730,409.75,499.08,54.73,17.11,4.28,0.0
20220529:0830,369.97,454.87,42.68,17.01,3.93,0.0
20220529:0930,203.99,266.34,30.51,17.14,3.93,0.0
20220529:1030,82.27,127.64,18.52,16.84,3.86,0.0
20220529:1130,15.68,32.05,6.93,16.38,3.24,0.0
20220529:1230,0.0,0.0,-4.02,15.42,2.14,0.0
20220529:1330,0.0,0.0,0.0,14.43,1.45,0.0
20220529:1430,0.0,0.0,0.0,12.66,1.03,0.0
20220529:1530,0.0,0.0,0.0,12.14,0.9,0.0
20220529:1630,0.0,0.0,0.0,11.87,0.76,0.0
20220529:1730,0.0,0.0,0.0,11.11,0.83,0.0
20220529:1830,0.0,0.0,0.0,10.54,0.97,0.0
20220529:1930,0.0,0.0,0.0,7.77,1.1,0.0
